headline,content,link,timestamp,source,headline,content,link,timestamp,source
Can't break my spirit: Rekha Gupta's first reaction on attack during public meet,"Delhi Chief Minister Rekha Gupta said the attack on her during a public outreach programme was a ""cowardly attempt"" on her resolve to serve the people. She also said she was in shock, but was feeling better.",https://www.indiatoday.in/india/story/rekha-gupta-attacked-jan-sunwai-programme-accused-arrested-reaction-2774312-2025-08-20,2025-08-21T02:47:50.291750,India Today,Can't break my spirit: Rekha Gupta's first reaction on attack during public meet,"Delhi Chief Minister Rekha Gupta said the attack on her during a public outreach programme was a ""cowardly attempt"" on her resolve to serve the people. She also said she was in shock, but was feeling better.",https://www.indiatoday.in/india/story/rekha-gupta-attacked-jan-sunwai-programme-accused-arrested-reaction-2774312-2025-08-21,2025-08-21T02:47:50.291750,India Today
Unilateral sanctions are illegal: Russian envoy Roman Babushkin amid tariff threat,"In an exclusive with India Today, Roman Babushki, Deputy Chief of Mission at the Russian Embassy in India, spoke on India-Russia relations, Western sanctions on Russia and a host of issues.",https://www.indiatoday.in/india/video/unilateral-sanctions-are-illegal-russian-envoy-roman-babushkin-amid-tariff-threat-2774246-2025-08-20,2025-08-21T02:47:50.291750,India Today,Unilateral sanctions are illegal: Russian envoy Roman Babushkin amid tariff threat,"In an exclusive with India Today, Roman Babushki, Deputy Chief of Mission at the Russian Embassy in India, spoke on India-Russia relations, Western sanctions on Russia and a host of issues.",https://www.indiatoday.in/india/video/unilateral-sanctions-are-illegal-russian-envoy-roman-babushkin-amid-tariff-threat-2774246-2025-08-21,2025-08-21T02:47:50.291750,India Today
Rahul Gandhi approaches top court over 'vote chori' in Bengaluru Lok Sabha seat,"Rahul Gandhi has approached the Supreme Court, urging an investigation into alleged irregularities and manipulation in the voter list of the Bengaluru Central constituency during the 2024 Lok Sabha elections, by a Special Investigation Team (SIT) headed by a retired judge.",https://www.indiatoday.in/india/law-news/story/rahul-gandhi-approaches-top-court-over-vote-chori-in-bengaluru-lok-sabha-seat-2774390-2025-08-21,2025-08-21T02:48:24.180413,India Today,Rahul Gandhi approaches top court over 'vote chori' in Bengaluru Lok Sabha seat,"Rahul Gandhi has approached the Supreme Court, urging an investigation into alleged irregularities and manipulation in the voter list of the Bengaluru Central constituency during the 2024 Lok Sabha elections, by a Special Investigation Team (SIT) headed by a retired judge.",https://www.indiatoday.in/india/law-news/story/rahul-gandhi-approaches-top-court-over-vote-chori-in-bengaluru-lok-sabha-seat-2774390-2025-08-22,2025-08-21T02:48:24.180413,India Today
Battery and tyre stolen from ex-cop's car in Lucknow,A man stole the battery and stepney from former IG NK Srivastava's car parked outside his Lucknow residence.,https://www.indiatoday.in/india/story/lucknow-gomtinagar-inspector-general-thief-car-battery-spare-tire-stolen-police-investigating-2774018-2025-08-20,2025-08-21T02:48:24.180413,India Today,Battery and tyre stolen from ex-cop's car in Lucknow,A man stole the battery and stepney from former IG NK Srivastava's car parked outside his Lucknow residence.,https://www.indiatoday.in/india/story/lucknow-gomtinagar-inspector-general-thief-car-battery-spare-tire-stolen-police-investigating-2774018-2025-08-21,2025-08-21T02:48:24.180413,India Today
Court dismisses plea against BJP MLA's victory in Mumbai's Sion-Koliwada seat,"Bombay High Court rejected the petition filed by Congress candidate Ganesh Kumar Yadav, terming it ""vague and generic"" and lacking the material facts required under the Representation of the People Act, 1951.",https://www.indiatoday.in/india/law-news/story/bombay-high-court-dismisses-election-petition-against-bjp-tamil-selvan-victory-2774377-2025-08-20,2025-08-21T02:48:24.180413,India Today,Court dismisses plea against BJP MLA's victory in Mumbai's Sion-Koliwada seat,"Bombay High Court rejected the petition filed by Congress candidate Ganesh Kumar Yadav, terming it ""vague and generic"" and lacking the material facts required under the Representation of the People Act, 1951.",https://www.indiatoday.in/india/law-news/story/bombay-high-court-dismisses-election-petition-against-bjp-tamil-selvan-victory-2774377-2025-08-21,2025-08-21T02:48:24.180413,India Today
"AI-based verification to detect mule bank accounts, curb online fraud soon: Sources",The AI-based verification will be made compulsory not only for routine banking operations but also as a condition for granting new licences and renewing existing ones.,https://www.indiatoday.in/india/story/reserve-bank-of-india-to-start-ai-based-verification-to-identify-mule-accounts-curb-online-fraud-2774358-2025-08-20,2025-08-21T02:48:24.180413,India Today,"AI-based verification to detect mule bank accounts, curb online fraud soon: Sources",The AI-based verification will be made compulsory not only for routine banking operations but also as a condition for granting new licences and renewing existing ones.,https://www.indiatoday.in/india/story/reserve-bank-of-india-to-start-ai-based-verification-to-identify-mule-accounts-curb-online-fraud-2774358-2025-08-21,2025-08-21T02:48:24.180413,India Today
Untenable: Government slams Nepal's remarks on India-China trade through Lipulekh,"India condemned Nepal's opposition to the resumption of India-China trade through the Lipulekh Pass, calling Kathmandu's territorial claims over the Kalapani region unjustified and historically unfounded.",https://www.indiatoday.in/india/story/unjustified-untenable-government-junks-nepals-remarks-on-india-china-trade-resumption-through-lipulekh-pass-2774359-2025-08-20,2025-08-21T02:48:24.180413,India Today,Untenable: Government slams Nepal's remarks on India-China trade through Lipulekh,"India condemned Nepal's opposition to the resumption of India-China trade through the Lipulekh Pass, calling Kathmandu's territorial claims over the Kalapani region unjustified and historically unfounded.",https://www.indiatoday.in/india/story/unjustified-untenable-government-junks-nepals-remarks-on-india-china-trade-resumption-through-lipulekh-pass-2774359-2025-08-21,2025-08-21T02:48:24.180413,India Today
Manish Tewari slams bill to oust jailed ministers as 'assault on constitution',"Congress MP Manish Tewari discusses a proposed bill sent to a Joint Parliamentary Committee, which mandates that ministers, including Chief Ministers and the Prime Minister, must resign if held in custody for over 30 days.",https://www.indiatoday.in/india/video/manish-tewari-slams-bill-to-oust-jailed-ministers-as-assault-on-constitution-2774352-2025-08-20,2025-08-21T02:48:24.180413,India Today,Manish Tewari slams bill to oust jailed ministers as 'assault on constitution',"Congress MP Manish Tewari discusses a proposed bill sent to a Joint Parliamentary Committee, which mandates that ministers, including Chief Ministers and the Prime Minister, must resign if held in custody for over 30 days.",https://www.indiatoday.in/india/video/manish-tewari-slams-bill-to-oust-jailed-ministers-as-assault-on-constitution-2774352-2025-08-21,2025-08-21T02:48:24.180413,India Today
"Akshay Kumar, Arshad Warsi summoned by court for lawyers' portrayal in Jolly LLB 3",Advocates Wajed Khan (Bidkar) and Ganesh Mhaskhe filed a petition alleging that the film's teaser portrays lawyers and judges in a disrespectful manner.,https://www.indiatoday.in/india/law-news/story/akshay-kumar-and-arshad-warsi-summoned-by-pune-court-over-portrayal-of-lawyers-judges-in-jolly-llb-3-teaser-2774346-2025-08-20,2025-08-21T02:48:24.180413,India Today,"Akshay Kumar, Arshad Warsi summoned by court for lawyers' portrayal in Jolly LLB 4",Advocates Wajed Khan (Bidkar) and Ganesh Mhaskhe filed a petition alleging that the film's teaser portrays lawyers and judges in a disrespectful manner.,https://www.indiatoday.in/india/law-news/story/akshay-kumar-and-arshad-warsi-summoned-by-pune-court-over-portrayal-of-lawyers-judges-in-jolly-llb-3-teaser-2774346-2025-08-21,2025-08-21T02:48:24.180413,India Today
"Kolkata-bound Alliance Air flight returns to Guwahati after mid-air snag, all safe","Officials said flight 9I756 took off from Guwahati at 1.09 pm for Kolkata but soon after take-off, the pilots reported a technical issue.",https://www.indiatoday.in/india/story/kolkata-bound-alliance-air-flight-returns-to-guwahati-after-mid-air-snag-all-safe-2774324-2025-08-20,2025-08-21T02:48:24.180413,India Today,"Kolkata-bound Alliance Air flight returns to Guwahati after mid-air snag, all safe","Officials said flight 9I756 took off from Guwahati at 1.09 pm for Kolkata but soon after take-off, the pilots reported a technical issue.",https://www.indiatoday.in/india/story/kolkata-bound-alliance-air-flight-returns-to-guwahati-after-mid-air-snag-all-safe-2774324-2025-08-21,2025-08-21T02:48:24.180413,India Today
Misplaced statement: Government junks Bangladesh's Awami activities in India claim,"India firmly rejected Bangladesh's allegations of anti-Bangladesh activities being carried out from its soil by Sheikh Hasina's Awami League members, calling the claims 'misplaced'.",https://www.indiatoday.in/india/story/government-rejects-bangaldeshs-claim-of-awami-league-activities-in-india-sheikh-hasina-2774319-2025-08-20,2025-08-21T02:48:24.180413,India Today,Misplaced statement: Government junks Bangladesh's Awami activities in India claim,"India firmly rejected Bangladesh's allegations of anti-Bangladesh activities being carried out from its soil by Sheikh Hasina's Awami League members, calling the claims 'misplaced'.",https://www.indiatoday.in/india/story/government-rejects-bangaldeshs-claim-of-awami-league-activities-in-india-sheikh-hasina-2774319-2025-08-21,2025-08-21T02:48:24.180413,India Today
Rekha Gupta's first reaction after attack: Such attacks can never break my spirit,"Delhi Chief Minister Rekha Gupta was attacked by a man during a public hearing earlier today. In her first statement following the incident, she called the assault a ""cowardly attempt on our resolve to serve Delhi and work for the welfare of the people."" While she was in shock after the attack, the Chief Minister said she is feeling better and will return to work with more energy. She affirmed that she will not be deterred and will continue to hold the public meetings, known as 'Janssen-wise'. The statement also noted, ""Such attacks can never break my spirit or my resolve to serve people."" Following the incident, supporters from the Bharatiya Janta Party, along with MLAs and Cabinet Ministers, went to her residence.",https://www.indiatoday.in/india/video/rekha-guptas-first-reaction-after-attack-such-attacks-can-never-break-my-spirit-2774290-2025-08-20,2025-08-21T02:48:24.180413,India Today,Rekha Gupta's first reaction after attack: Such attacks can never break my spirit,"Delhi Chief Minister Rekha Gupta was attacked by a man during a public hearing earlier today. In her first statement following the incident, she called the assault a ""cowardly attempt on our resolve to serve Delhi and work for the welfare of the people."" While she was in shock after the attack, the Chief Minister said she is feeling better and will return to work with more energy. She affirmed that she will not be deterred and will continue to hold the public meetings, known as 'Janssen-wise'. The statement also noted, ""Such attacks can never break my spirit or my resolve to serve people."" Following the incident, supporters from the Bharatiya Janta Party, along with MLAs and Cabinet Ministers, went to her residence.",https://www.indiatoday.in/india/video/rekha-guptas-first-reaction-after-attack-such-attacks-can-never-break-my-spirit-2774290-2025-08-21,2025-08-21T02:48:24.180413,India Today
Can't break my spirit: Rekha Gupta's first reaction on attack during public meet,"Delhi Chief Minister Rekha Gupta said the attack on her during a public outreach programme was a ""cowardly attempt"" on her resolve to serve the people. She also said she was in shock, but was feeling better.",https://www.indiatoday.in/india/story/rekha-gupta-attacked-jan-sunwai-programme-accused-arrested-reaction-2774312-2025-08-20,2025-08-21T02:48:24.180413,India Today,Can't break my spirit: Rekha Gupta's first reaction on attack during public meet,"Delhi Chief Minister Rekha Gupta said the attack on her during a public outreach programme was a ""cowardly attempt"" on her resolve to serve the people. She also said she was in shock, but was feeling better.",https://www.indiatoday.in/india/story/rekha-gupta-attacked-jan-sunwai-programme-accused-arrested-reaction-2774312-2025-08-21,2025-08-21T02:48:24.180413,India Today
Unilateral sanctions are illegal: Russian envoy Roman Babushkin amid tariff threat,"In an exclusive with India Today, Roman Babushki, Deputy Chief of Mission at the Russian Embassy in India, spoke on India-Russia relations, Western sanctions on Russia and a host of issues.",https://www.indiatoday.in/india/video/unilateral-sanctions-are-illegal-russian-envoy-roman-babushkin-amid-tariff-threat-2774246-2025-08-20,2025-08-21T02:48:24.180413,India Today,Unilateral sanctions are illegal: Russian envoy Roman Babushkin amid tariff threat,"In an exclusive with India Today, Roman Babushki, Deputy Chief of Mission at the Russian Embassy in India, spoke on India-Russia relations, Western sanctions on Russia and a host of issues.",https://www.indiatoday.in/india/video/unilateral-sanctions-are-illegal-russian-envoy-roman-babushkin-amid-tariff-threat-2774246-2025-08-21,2025-08-21T02:48:24.180413,India Today
